filename,mean_grain_diameter_px,grain_count
1 (10).jpg,66.18,1
1 (11).jpg,9.33,44
1 (12).jpg,12.68,34
1 (13).jpg,24.18,3
1 (14).jpg,7.26,4
1 (15).jpg,15.66,28
1 (16).jpg,4.93,9
1 (17).jpg,9.88,10
1 (18).jpg,23.55,20
1 (19).jpg,18.1,12
1 (2).jpg,49.79,11
1 (20).jpg,8.87,7
1 (21).jpg,15.89,17
1 (22).jpg,26.79,15
1 (23).jpg,22.96,13
1 (24).jpg,22.59,9
1 (25).jpg,10.06,45
1 (26).jpg,28.57,8
1 (28).jpg,252.12,1
1 (29).jpg,6.81,12
1 (30).jpg,23.01,16
1 (31).jpg,18.88,15
1 (32).jpg,0,0
1 (33).jpg,25.15,4
1 (334).jpg,45.09,5
1 (335).jpg,15.99,22
1 (336).jpg,21.6,22
1 (337).jpg,0,0
1 (338).jpg,9.92,45
1 (339).jpg,37.66,7
1 (34).jpg,8.7,21
1 (340).jpg,25.89,11
1 (341).jpg,8.9,57
1 (342).jpg,0,0
1 (343).jpg,251.77,1
1 (345).jpg,11.81,15
1 (346).jpg,108.14,1
1 (347).jpg,8.76,8
1 (348).jpg,251.98,1
1 (349).jpg,139.98,1
1 (35).jpg,251.8,1
1 (350).jpg,10.67,31
1 (351).jpg,28.34,2
1 (352).jpg,14.83,17
1 (353).jpg,9.75,16
1 (354).jpg,23.82,14
1 (355).jpg,164.64,1
1 (356).jpg,11.07,25
1 (357).jpg,13.01,25
1 (358).jpg,7.88,84
1 (36).jpg,16.92,22
1 (361).jpg,12.36,5
1 (362).jpg,0,0
1 (363).jpg,9.01,21
1 (364).jpg,11.71,50
1 (365).jpg,7.93,22
1 (366).jpg,0,0
1 (368).jpg,252.19,1
1 (369).jpg,15.15,25
1 (37).jpg,10.08,5
1 (370).jpg,13.92,33
1 (371).jpg,10.92,22
1 (372).jpg,161.99,1
1 (373).jpg,49.07,6
1 (374).jpg,22.74,13
1 (375).jpg,10.61,24
1 (376).jpg,7.9,1
1 (377).jpg,7.51,13
1 (378).jpg,252.38,1
1 (379).jpg,250.64,1
1 (38).jpg,15.62,11
1 (380).jpg,6.93,12
1 (381).jpg,15.81,14
1 (382).jpg,13.4,26
1 (383).jpg,7.57,7
1 (384).jpg,43.34,6
1 (385).jpg,30.94,9
1 (387).jpg,9.94,23
1 (388).jpg,11.14,28
1 (389).jpg,10.52,18
1 (39).jpg,28.12,8
1 (390).jpg,155.17,1
1 (391).jpg,0,0
1 (392).jpg,0,0
1 (393).jpg,13.33,28
1 (394).jpg,10.14,44
1 (395).jpg,6.86,32
1 (396).jpg,52.07,6
1 (397).jpg,6.16,8
1 (398).jpg,8.11,9
1 (399).jpg,15.58,22
1 (4).jpg,14.22,9
1 (40).jpg,23.8,12
1 (400).jpg,6.82,14
1 (401).jpg,8.47,11
1 (402).jpg,9.88,33
1 (403).jpg,201.18,1
1 (404).jpg,0,0
1 (406).jpg,38.9,5
1 (407).jpg,6.57,5
1 (408).jpg,34.71,10
1 (409).jpg,252.75,1
1 (41).jpg,252.42,1
1 (410).jpg,4.37,1
1 (411).jpg,213.13,1
1 (412).jpg,6.84,9
1 (413).jpg,27.11,10
1 (414).jpg,12.72,65
1 (415).jpg,249.67,1
1 (416).jpg,14.1,4
1 (417).jpg,17.66,23
1 (42).jpg,36.26,11
1 (420).jpg,30.55,7
1 (421).jpg,252.18,1
1 (422).jpg,251.71,1
1 (423).jpg,0,0
1 (424).jpg,45.56,3
1 (43).jpg,15.34,29
1 (430).jpg,11.74,52
1 (431).jpg,11.89,26
1 (432).jpg,16.49,24
1 (433).jpg,252.75,1
1 (434).jpg,85.51,3
1 (435).jpg,14.08,28
1 (436).jpg,9.3,13
1 (437).jpg,66.18,1
1 (438).jpg,22.9,14
1 (439).jpg,39.19,7
1 (44).jpg,30.6,5
1 (440).jpg,7.86,19
1 (443).jpg,6.0,2
1 (444).jpg,4.56,14
1 (445).jpg,23.23,15
1 (446).jpg,10.88,21
1 (447).jpg,125.56,2
1 (448).jpg,0,0
1 (449).jpg,8.68,29
1 (45).jpg,13.86,41
1 (450).jpg,18.43,20
1 (451).jpg,41.13,5
1 (452).jpg,10.02,17
1 (455).jpg,27.31,15
1 (456).jpg,235.42,1
1 (458).jpg,251.79,1
1 (459).jpg,20.22,5
1 (46).jpg,18.37,6
1 (460).jpg,25.15,10
1 (461).jpg,16.75,26
1 (463).jpg,15.3,21
1 (464).jpg,18.01,15
1 (465).jpg,250.99,1
1 (466).jpg,6.04,5
1 (467).jpg,39.97,5
1 (468).jpg,4.96,85
1 (469).jpg,217.06,1
1 (47).jpg,39.89,3
1 (470).jpg,246.54,1
1 (471).jpg,7.53,11
1 (475).jpg,11.15,62
1 (476).jpg,5.68,13
1 (478).jpg,251.61,1
1 (479).jpg,60.9,6
1 (48).jpg,13.56,15
1 (481).jpg,50.9,5
1 (483).jpg,60.42,3
1 (486).jpg,116.36,2
1 (487).jpg,9.98,72
1 (488).jpg,17.41,10
1 (492).jpg,173.77,1
1 (494).jpg,0,0
1 (495).jpg,148.36,2
1 (496).jpg,0,0
1 (497).jpg,0,0
1 (498).jpg,23.96,14
1 (499).jpg,19.14,21
1 (500).jpg,12.05,20
1 (501).jpg,251.57,1
1 (503).jpg,7.54,15
1 (504).jpg,16.2,28
1 (506).jpg,4.37,9
1 (507).jpg,7.45,103
1 (509).jpg,13.25,34
1 (511).jpg,10.38,34
1 (513).jpg,10.18,16
1 (514).jpg,18.3,18
1 (515).jpg,17.97,14
1 (516).jpg,9.39,14
1 (518).jpg,63.2,1
1 (520).jpg,16.66,23
1 (521).jpg,67.81,3
1 (522).jpg,14.18,24
1 (529).jpg,17.62,16
1 (530).jpg,120.14,2
1 (531).jpg,20.55,25
1 (532).jpg,12.17,43
1 (533).jpg,38.83,5
1 (536).jpg,252.04,1
1 (544).jpg,21.08,18
1 (545).jpg,22.82,13
1 (547).jpg,23.15,12
1 (548).jpg,71.97,2
1 (550).jpg,4.7,17
1 (551).jpg,14.33,33
1 (552).jpg,20.03,20
1 (554).jpg,30.85,11
1 (555).jpg,4.24,2
1 (557).jpg,22.5,15
1 (558).jpg,8.88,21
1 (559).jpg,15.42,23
1 (565).jpg,16.78,3
1 (566).jpg,22.07,11
1 (567).jpg,13.91,8
1 (568).jpg,11.65,25
1 (569).jpg,111.71,1
1 (570).jpg,16.23,6
1 (571).jpg,102.11,1
1 (572).jpg,27.21,4
1 (573).jpg,8.18,13
1 (574).jpg,25.54,18
1 (575).jpg,21.57,2
1 (576).jpg,16.59,35
1 (577).jpg,12.22,9
1 (578).jpg,29.65,10
1 (579).jpg,251.94,1
1 (580).jpg,19.58,17
1 (581).jpg,0,0
1 (582).jpg,250.29,1
1 (583).jpg,30.02,8
1 (584).jpg,7.17,18
1 (585).jpg,16.42,6
1 (586).jpg,39.29,1
1 (587).jpg,0,0
1 (588).jpg,252.76,1
1 (589).jpg,32.39,8
1 (590).jpg,251.79,1
1 (591).jpg,18.31,17
1 (592).jpg,251.98,1
1 (593).jpg,7.62,2
1 (594).jpg,14.78,8
1 (595).jpg,14.59,23
1 (596).jpg,63.21,1
1 (597).jpg,89.37,1
1 (598).jpg,36.65,4
1 (599).jpg,37.07,8
1 (6).jpg,37.44,1
1 (600).jpg,252.11,1
1 (601).jpg,10.78,27
1 (602).jpg,11.08,12
1 (603).jpg,23.62,2
1 (604).jpg,46.56,6
1 (605).jpg,7.82,22
1 (606).jpg,18.88,15
1 (607).jpg,9.31,77
1 (608).jpg,252.03,1
1 (609).jpg,9.04,26
1 (610).jpg,17.75,12
1 (611).jpg,22.08,12
1 (612).jpg,11.3,35
1 (613).jpg,43.79,5
1 (614).jpg,251.63,1
1 (615).jpg,16.65,18
1 (616).jpg,14.09,30
1 (617).jpg,19.3,14
1 (618).jpg,11.15,4
1 (7).jpg,0,0
1 (8).jpg,5.03,3
1 (9).jpg,251.79,1
15169970468_ef3c6b5bff_b.jpg,943.2,1
1655-Ahola-dolomite-marble-8-cm.jpg,8.8,544
1757-marble-calcite-Leivset-19-cm.jpg,6.57,64
31e2cae7a399bd4322fc2f0a8351995e.jpg,12.48,73
bflnze7yaaqme5qkgdqc_b5de349d-b6be-48ce-a108-0ede8f2a8b4c_915x700.jpg,12.35,48
"e9445d48-36f0-4ecf-b097-96ed445a9f74.__CR255,99,3210,1985_PT0_SX970_V1___.jpg",0,0
f25410f4f2fe80400d6f95a9a534d1b8.jpg,9.26,12
istockphoto-1002671368-612x612.jpg,10.17,63
istockphoto-1022140840-612x612.jpg,28.08,6
istockphoto-1022140854-612x612.jpg,14.61,18
istockphoto-1022140856-612x612.jpg,23.43,11
istockphoto-1030995030-612x612.jpg,22.58,24
istockphoto-1040347728-612x612.jpg,0,0
istockphoto-1043676632-612x612.jpg,12.83,60
istockphoto-1049711572-612x612.jpg,11.01,11
istockphoto-1078006654-612x612.jpg,25.3,22
istockphoto-1089481820-612x612.jpg,11.18,8
istockphoto-1097421014-612x612.jpg,23.51,34
istockphoto-1124987135-612x612.jpg,30.36,28
istockphoto-1125425397-612x612.jpg,6.15,10
istockphoto-1126972775-612x612.jpg,12.49,119
istockphoto-1132036755-612x612.jpg,16.57,107
istockphoto-116125011-612x612.jpg,21.69,34
istockphoto-1161379400-612x612.jpg,15.56,34
istockphoto-1161379462-612x612.jpg,29.56,17
istockphoto-116188290-612x612.jpg,16.38,51
istockphoto-1162414197-612x612.jpg,103.25,6
istockphoto-1167831985-612x612.jpg,24.16,22
istockphoto-1169370453-612x612.jpg,689.44,1
istockphoto-1172079174-612x612.jpg,34.48,18
istockphoto-1173084355-612x612.jpg,31.34,33
istockphoto-1173337113-612x612.jpg,16.43,45
istockphoto-1174840718-612x612.jpg,20.33,2
istockphoto-1178410349-612x612.jpg,19.46,88
istockphoto-1182072248-612x612.jpg,0,0
istockphoto-1185894713-612x612.jpg,0,0
istockphoto-1186790561-612x612.jpg,7.83,16
istockphoto-1187562031-612x612.jpg,15.24,34
istockphoto-1194236031-612x612.jpg,54.32,12
istockphoto-1194236642-612x612.jpg,516.56,1
istockphoto-1194297497-612x612.jpg,26.01,3
istockphoto-1195174656-612x612.jpg,19.03,41
istockphoto-1197424395-612x612.jpg,596.91,1
istockphoto-1201821562-612x612.jpg,7.7,68
istockphoto-1207160907-612x612.jpg,12.32,118
istockphoto-1207543738-612x612.jpg,7.16,21
istockphoto-1212854544-612x612.jpg,12.32,132
istockphoto-1212981210-612x612.jpg,12.61,68
istockphoto-1213873924-612x612.jpg,6.48,6
istockphoto-1226893929-612x612.jpg,21.53,11
istockphoto-1250967782-612x612.jpg,42.44,10
istockphoto-125913888-612x612.jpg,8.54,10
istockphoto-1269930537-612x612.jpg,36.44,22
istockphoto-1283499830-612x612.jpg,101.76,2
istockphoto-1289284267-612x612.jpg,12.92,84
istockphoto-132055060-612x612.jpg,44.83,11
istockphoto-136979336-612x612.jpg,561.22,1
istockphoto-160185822-612x612.jpg,19.08,83
istockphoto-164901147-612x612.jpg,20.19,32
istockphoto-174823235-612x612.jpg,9.77,74
istockphoto-175255333-612x612.jpg,0,0
istockphoto-182148999-612x612.jpg,18.32,10
istockphoto-183755373-612x612.jpg,15.85,2
istockphoto-184592313-612x612.jpg,11.37,67
istockphoto-476416199-612x612.jpg,15.16,42
istockphoto-477628714-612x612.jpg,9.45,155
istockphoto-482566421-612x612.jpg,9.92,149
istockphoto-484343309-612x612.jpg,39.28,16
istockphoto-489869682-612x612.jpg,15.56,48
istockphoto-494347833-612x612.jpg,554.94,1
istockphoto-497903898-612x612.jpg,16.86,70
istockphoto-502976396-612x612.jpg,45.04,16
istockphoto-509006947-612x612.jpg,90.89,8
istockphoto-521027443-612x612.jpg,18.22,47
istockphoto-521072811-612x612.jpg,12.69,51
istockphoto-530863591-612x612.jpg,15.75,16
istockphoto-530873807-612x612.jpg,14.31,39
istockphoto-532448735-612x612.jpg,16.29,5
istockphoto-591405034-612x612.jpg,6.42,42
istockphoto-596802498-612x612.jpg,21.68,7
istockphoto-619512250-612x612.jpg,0,0
istockphoto-625332712-612x612.jpg,19.71,1
istockphoto-660591162-612x612.jpg,29.43,32
istockphoto-675540094-612x612.jpg,24.03,5
istockphoto-677811978-612x612.jpg,11.96,105
istockphoto-686552998-612x612.jpg,12.5,128
istockphoto-689288296-612x612.jpg,21.17,18
istockphoto-693871142-612x612.jpg,88.01,6
istockphoto-694142286-612x612.jpg,28.42,28
istockphoto-878788946-612x612.jpg,589.04,1
istockphoto-89088931-612x612.jpg,0,0
istockphoto-897447204-612x612.jpg,26.57,2
istockphoto-92256869-612x612.jpg,25.47,36
istockphoto-939752264-612x612.jpg,32.18,19
istockphoto-945040766-612x612.jpg,29.27,22
macro-shooting-of-metamorphic-rock-specimens-piece-of-white-marble-GRAB0R.jpg,131.1,3
marbldolo1-1295.jpg,21.65,16
Marble Madoc01.jpg,13.74,388
Marble-084-RD010-C-SH_nltxub.jpg,14.8,260
marble-941374788-5b16eaa4fa6bcc00369692c7.jpg,9.74,49
Marble-from-Fauske.jpg,9.41,67
marble-with-ruby.jpg,25.56,7
marble.jpg,10.26,38
marble2020(6).jpg,0,0
marble2020(7).jpg,9.99,191
marble3.jpg,13.54,47
MarbleGrayBanded.jpg,11.75,103
MarbleWhite.jpg,634.37,1
marbwht1-897.jpg,40.73,6
p.482.1-white_marble_metamorphic_rock.jpg,35.49,9
pink-marble.jpg,12.29,54
raw-marble-rock-cutout-white-background-172494727.jpg,11.29,71
raw-marble-rock-isolated-white-closeup-sample-natural-mineral-geological-collection-background-170796580.jpg,28.82,20
rock-kit.jpg,346.64,1
s-l400.jpg,49.79,11
White-Marble-Metamorphic-Rock.jpg,12.64,58
